Pt1	Int32	String	Text	StringEnum	Int32	StringEnum	String	String	Int32	String	Int32	Int32	Int32	String	Int32	Int32	Char
	No	Empresa	UEB/OC	Provincia	UEB Alimatic	Sist. Cont	Migración	Nómina	C	Real	Plan	ADSL	PAP	Aumento	Maq Env	PLC	S
	55	PESCAVILLA	Pescacentro	Villa Clara	0	Siscomip	01/05/2017	SQL	5					0			G
	53	Cervecería Manacas	Producción	Villa Clara	0	Sicema SQL		SQLA	5	128d				#VALUE!			G
	53	Cervecería Manacas	Servicios Productivos	Villa Clara	0	Sicema SQL		SQLA	5	128d				#VALUE!			G
	53	Cervecería Manacas	Operaciones	Villa Clara	0	Sicema SQL		SQLA	5	128d				#VALUE!			G
	51	Lácteos Villa Clara	Oficina Central	Villa Clara	0	Sicema SQL		DISAIC	1	128		1		-128			G
	51	Lácteos Villa Clara	Santa Clara	Villa Clara	0	Sicema SQL		DISAIC	1				1	0			G
	51	Lácteos Villa Clara	Placetas	Villa Clara	0	Sicema SQL		DISAIC	1					0			G
	51	Lácteos Villa Clara	Sagua La Grande	Villa Clara	0	Sicema SQL		DISAIC	1					0			G
	52	Bebidas Villa Clara	Oficina Central	Villa Clara	0	Sicema SQL		SQLA	5	128	256	1		128			G
	52	Bebidas Villa Clara	Embotelladora Central	Villa Clara	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Vinatera del Norte	Villa Clara	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Combinado Cubanacan	Villa Clara	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Embotelladora Calabazar	Villa Clara	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Embotelladora Amaro	Villa Clara	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Comercializadora	Villa Clara	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Aseguramiento	Villa Clara	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Transporte	Villa Clara	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Fábrica de Ron Cienfuegos	Cienfuegos	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Refrescos y Hielo Cienfuegos	Cienfuegos	0	Sicema SQL		SQLA	5					0			G
	52	Bebidas Villa Clara	Complejo Cienfuegos	Cienfuegos	0	Sicema SQL		SQLA	5		64			64			G
	53	Cervecería Manacas	Oficina Central	Villa Clara	0	Sicema SQL		SQLA	5	128	256	1		128			G
	55	PESCAVILLA	Pispavon	Villa Clara	0	Siscomip	01/06/2017	SQL	5					0			G
	62	Bebidas Ciego de Ávila	Fca. Ref Morón, “Mártires del 30 de Noviembre	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	56	Cárnica Sancti Spíritus	Oficina Central	Sancti Spíritus	0	Sicema SQL		SQLA	5	128		1		-128			G
	56	Cárnica Sancti Spíritus	"Matadero de reses ""Victor Ibarra de Castro"""	Sancti Spíritus	0	Sicema SQL		SQLA	5					0			G
	59	PESCAPIR	Servipir	Sancti Spíritus	0	Siscomip	01/07/2017	SQL	5				1	0			G
	60	Cárnica Ciego de Ávila	Oficina Central	Ciego de Ávila	0	Sicema SQL		SQL	5	128	512	1		384			G
	60	Cárnica Ciego de Ávila	Establecimiento “Osvaldo Sánchez Cabrera”	Ciego de Ávila	0	Sicema SQL		SQL	5		128			128			G
	60	Cárnica Ciego de Ávila	Establecimiento “Pedro Martínez Brito”	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	60	Cárnica Ciego de Ávila	Empacadora ¨Nelson A. Diaz Jimenez¨	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	60	Cárnica Ciego de Ávila	Comercializadora	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	61	Lácteos Ciego de Ávila	Oficina Central	Ciego de Ávila	0	Sicema SQL		SQL	5	128		1		-128			G
	59	PESCAPIR	Acuisier	Sancti Spíritus	0	Siscomip	01/07/2017	SQL	5				1	0			G
	61	Lácteos Ciego de Ávila	Combinado Lacteo Ciego de Avila	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	61	Lácteos Ciego de Ávila	Comercializadora Lacteos	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	61	Lácteos Ciego de Ávila	Logistica Integral	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	61	Lácteos Ciego de Ávila	Acopio y Distribucion	Ciego de Ávila	0	Sicema SQL		SQL	5					0			G
	62	Bebidas Ciego de Ávila	Oficina Central	Ciego de Ávila	0	Sicema SQL		SQL	5	128	512	1		384			G
	62	Bebidas Ciego de Ávila	Bebidas “La Palma”	Ciego de Ávila	0	Sicema SQL		SQL	5					0			G
	62	Bebidas Ciego de Ávila	Ventas y Transporte	Ciego de Ávila	0	Sicema SQL		SQL	5					0			G
	62	Bebidas Ciego de Ávila	Aseguramiento y Servicios Internos	Ciego de Ávila	0	Sicema SQl		SQL	5				1	0			G
